conclusion_length,premise_count,avg_premise_length,has_specific_evidence,has_logical_connectors,has_counterconsideration,has_change_mind,confidence,conclusion_premise_alignment,quality_score
159,3,99,1,1,1,1,7,1,0.85
99,2,67,1,1,0,0,8,1,0.75
204,5,146,1,1,1,1,5,1,0.97
68,2,45,0,0,0,0,9,0,0.43
124,3,79,1,1,0,0,7,1,0.78
85,2,54,1,1,0,0,6,1,0.69
190,4,117,1,1,1,1,6,1,0.87
48,2,21,0,0,0,0,10,0,0.22
150,3,96,1,1,1,0,8,1,0.84
101,2,69,1,1,0,0,7,1,0.73
195,5,134,1,1,1,1,5,1,0.93
71,2,42,0,0,0,0,9,0,0.44
119,3,75,1,1,0,1,7,1,0.77
80,2,56,1,1,0,0,6,1,0.67
185,4,114,1,1,1,1,6,1,0.87
54,2,27,0,0,0,0,10,0,0.28
157,3,101,1,1,1,1,7,1,0.86
103,2,71,1,1,0,0,8,1,0.76
198,5,147,1,1,1,1,5,1,0.95
73,2,46,0,0,0,0,9,0,0.46
126,3,84,1,1,0,0,7,1,0.79
88,2,58,1,1,0,0,6,1,0.70
